command_auxdaq_sdwrite,flag_auxdaq_sdwrite,time_internal_seconds,time_auxdaq_us,position_engine_ticks,speed_engine_rpm,position_secondary_ticks,speed_secondary_rpm,pressure_frontbrake_psi,pressure_rearbrake_psi,lds_pedal_mm,imu_acceleration_x,imu_acceleration_y,imu_acceleration_z,imu_gyro_x,imu_gyro_y,imu_gyro_z,imu_temperature
0,1,0.847192,43904324,760536,1699,0,0,186.953125,2048.6328125,124.62158203125,2.16311192512512,-3.09631252288818,9.03051280975342,-0.00855211354792118,-0.00855211354792118,-0.0244346093386412,56.04296875
0,1,0.878199,43951968,761363,1783,0,0,185.742172241211,2048.2421875,124.594116210938,-5.17806768417358,3.73758888244629,11.5094766616821,0.0378736443817616,0.0378736443817616,0.0305432621389627,56.0078125
0,1,0.888201,43995498,762101,1683,0,0,186.9140625,2048.67163085938,124.603271484375,-16.644474029541,3.4360933303833,6.14476871490479,0.0232128798961639,0.0232128798961639,0.117286123335361,56.05078125
0,1,0.909206,44038381,762839,1675,0,0,186.3671875,2051.9140625,124.777221679688,-0.818345308303833,2.66081881523132,4.3214373588562,-0.0549778714776039,-0.0549778714776039,-0.0635299831628799,56.01953125
0,1,0.947215,44081007,763553,1709,0,0,186.40625,2052.3046875,124.786376953125,9.33679389953613,-1.35912311077118,4.5559344291687,-0.01588249579072,-0.01588249579072,-0.03176499158144,56.06640625
0,1,0.994225,44123730,764276,1708,0,0,188.828109741211,2052.03125,124.7802734375,5.53699159622192,-1.17726874351501,9.04965496063232,-0.03176499158144,-0.03176499158144,0.0781907513737679,56.05078125
0,1,1.034234,44166361,765026,1783,0,0,187.695297241211,2051.9140625,124.7802734375,15.1417808532715,-1.45962178707123,17.2618217468262,-0.00855211354792118,-0.00855211354792118,0.0708603635430336,56.04296875
0,1,1.077244,44209436,765778,1766,0,0,187.6171875,2051.9921875,124.79248046875,-1.51226401329041,-0.669990360736847,10.9351987838745,-0.01588249579072,-0.01588249579072,-0.202807247638702,56.09375
0,1,1.118253,44250998,766530,1754,0,0,187.6171875,2052.1875,124.783325195313,-7.35075092315674,-0.847059190273285,9.42772102355957,0.0537561401724815,0.0537561401724815,0.251676470041275,56.12109375
0,1,1.190269,44293853,767295,1842,0,0,188.828109741211,2052.3046875,124.786376953125,0.540777981281281,-2.14396929740906,12.299108505249,0.0464257597923279,0.0464257597923279,0.0855211317539215,56.0859375
0,1,1.220276,44335033,768025,1786,0,0,189.960922241211,2052.1484375,124.789428710938,-3.65144729614258,5.23071050643921,5.27378129959106,0.0305432621389627,0.0305432621389627,-0.040317103266716,56.1328125
0,1,1.242281,44377875,768796,1770,0,0,192.265625,2051.9921875,124.789428710938,-1.58404862880707,-2.05304193496704,10.8825578689575,-0.0940732434391975,-0.0940732434391975,0.0232128798961639,56.1484375
0,1,1.291292,44421871,769571,1798,0,0,192.3828125,2051.9921875,124.783325195313,3.3547375202179,2.41675090789795,3.17288279533386,-0.04764748737216,-0.04764748737216,0.0390953756868839,56.1640625
0,1,1.333749,44462400,770287,1750,0,0,191.09375,2051.83569335938,124.7802734375,8.29352378845215,-2.22532486915588,5.94855690002441,0.0769690200686455,0.0769690200686455,0,56.15625
0,1,1.38076,44504374,771033,1797,0,0,190,2052.2265625,124.783325195313,0.751346230506897,-4.2017970085144,14.5818614959717,-0.266337245702744,-0.266337245702744,0.0623082555830479,56.1328125
0,1,1.409766,44545417,771746,1732,0,0,192.343734741211,2052.34350585938,124.789428710938,-7.20239591598511,0.244067922234535,8.7768726348877,0.0928515195846558,0.0928515195846558,-0.03176499158144,56.1484375
0,1,1.460778,44588175,772504,1719,0,0,189.921859741211,2052.03125,124.783325195313,4.92921495437622,1.91425800323486,11.6243333816528,0,0,-0.157603219151497,56.1328125
0,1,1.495786,44631040,773256,1818,0,0,189.960922241211,2052.2265625,124.789428710938,14.2372951507568,-1.23469650745392,11.0691976547241,0.0696386322379112,0.0696386322379112,0.125838235020638,56.25
0,1,1.589807,44671560,773963,1754,0,0,189.8828125,2052.0703125,124.786376953125,-3.28295254707336,1.83768773078918,15.7304162979126,-0.00855211354792118,-0.00855211354792118,0.0855211317539215,56.2109375
0,1,1.597809,44712824,774696,1774,0,0,190.078109741211,2052.03125,124.795532226563,-3.3308093547821,4.75214576721191,7.28853750228882,-0.0390953756868839,-0.0390953756868839,-0.03176499158144,56.1640625
0,1,1.619814,44754733,775424,1736,0,0,189.921859741211,2052.34350585938,124.789428710938,4.59421968460083,-3.25902438163757,10.671989440918,-0.0623082555830479,-0.0623082555830479,0.0940732434391975,56.171875
0,1,1.66116,44795995,776158,1719,0,0,189.921859741211,2052.1875,124.789428710938,-0.392422914505005,-1.91425800323486,3.37866568565369,-0.0232128798961639,-0.0232128798961639,-0.04764748737216,56.24609375
0,1,1.70417,44838693,776899,1791,0,0,190,2052.1875,124.783325195313,-10.3082790374756,-2.06739902496338,7.90588617324829,0.0537561401724815,0.0537561401724815,-0.040317103266716,56.21484375
0,1,1.759183,44883117,777656,1693,0,0,190.039031982422,2052.3828125,124.801635742188,12.624532699585,1.56969165802002,13.3854503631592,-0.0232128798961639,-0.0232128798961639,0.0305432621389627,56.21875
0,1,1.807195,44923464,778350,1696,0,0,190.039031982422,2052.1484375,124.795532226563,-4.16829681396484,1.29690992832184,4.64207601547241,0,0,-0.0794124826788902,56.203125
0,1,1.845182,44963902,779031,1683,0,0,189.921859741211,2051.953125,124.786376953125,0.851844847202301,-4.84307336807251,10.7054882049561,-0.0549778714776039,-0.0549778714776039,0.0305432621389627,56.26171875
0,1,1.868189,45004412,779727,1658,0,0,189.492172241211,2048.828125,124.639892578125,-0.894915699958801,-3.10588383674622,8.02074146270752,-0.03176499158144,-0.03176499158144,-0.0794124826788902,56.24609375
0,1,1.925202,45047256,780481,1815,0,0,189.3359375,2048.67163085938,124.624633789063,-5.80977344512939,-3.06759881973267,12.8398857116699,0.0769690200686455,0.0769690200686455,-0.01588249579072,56.30859375
0,1,1.954208,45089860,781225,1767,0,0,188.203125,2048.94506835938,124.62158203125,1.41176533699036,5.08235502243042,11.3228368759155,0.0232128798961639,0.0232128798961639,-0.166155353188515,56.28515625
0,1,1.994217,45130613,781951,1759,0,0,188.281234741211,2048.67163085938,124.62158203125,-7.32203769683838,0.870987474918365,10.1359958648682,-0.01588249579072,-0.01588249579072,-0.118507854640484,56.29296875
