command_auxdaq_sdwrite,flag_auxdaq_sdwrite,time_internal_seconds,time_auxdaq_us,position_engine_ticks,speed_engine_rpm,position_secondary_ticks,speed_secondary_rpm,pressure_frontbrake_psi,pressure_rearbrake_psi,lds_pedal_mm,imu_acceleration_x,imu_acceleration_y,imu_acceleration_z,imu_gyro_x,imu_gyro_y,imu_gyro_z,imu_temperature
0,1,0.367163,3009026465,5793224,1644,191630,0,24.6484279632568,2049.2578125,121.444702148438,1.21076834201813,-1.44047927856445,8.37966537475586,-0.0623082555830479,-0.0623082555830479,0.0232128798961639,72.140625
0,1,0.435178,3009067082,5793904,1673,191630,0,24.6874980926514,2049.92163085938,121.469116210938,-0.555134892463684,1.13419783115387,10.2269239425659,0.100181899964809,0.100181899964809,-0.040317103266716,72.31640625
0,1,0.454179,3009118579,5794753,1648,191630,0,24.5703163146973,2049.3359375,121.438598632813,-1.80418825149536,4.12522602081299,9.98764133453369,0.0146607654169202,0.0146607654169202,-0.102625355124474,72.453125
0,1,0.502189,3009166882,5795537,1613,191630,0,24.6093578338623,2049.21875,121.432495117188,3.05802726745605,0.70348984003067,10.8299150466919,-0.0232128798961639,-0.0232128798961639,-0.0244346093386412,72.63671875
0,1,0.544198,3009207528,5796191,1614,191630,0,24.6484279632568,2049.375,121.453857421875,0.760917603969574,0.698704242706299,12.0406837463379,-0.03176499158144,-0.03176499158144,-0.0708603635430336,72.72265625
0,1,0.598213,3009249213,5796852,1599,191630,0,24.5703163146973,2049.21875,121.438598632813,-1.14376926422119,-8.58544731140137,10.8203449249268,0,0,0.0464257597923279,72.734375
0,1,0.627219,3009289745,5797550,1723,191630,0,24.5312461853027,2049.453125,121.478271484375,2.74217462539673,-0.689132928848267,3.95294308662415,0.100181899964809,0.100181899964809,0.00733038270846009,72.859375
0,1,0.668228,3009331235,5798270,1832,191630,0,24.6484279632568,2049.6875,121.481323242188,-3.22552514076233,2.59381985664368,14.2707948684692,0.0537561401724815,0.0537561401724815,-0.040317103266716,72.8984375
0,1,0.729444,3009371841,5799005,1801,191630,0,25.7031326293945,2049.1015625,121.478271484375,3.92901492118835,1.30169558525085,10.8203449249268,-0.00855211354792118,-0.00855211354792118,0.156381502747536,72.84375
0,1,0.755246,3009414521,5799783,1826,191630,0,25.7812442779541,2049.8046875,121.514892578125,-4.29272365570068,-3.16809725761414,12.5096769332886,0,0,0.0464257597923279,72.95703125
0,1,0.793258,3009455845,5800512,1818,191630,0,24.6093578338623,2049.53125,121.5087890625,-4.1012978553772,0.0382851622998714,3.20159697532654,-0.01588249579072,-0.01588249579072,-0.0244346093386412,73.01953125
0,1,0.835269,3009497138,5801264,1805,191630,0,23.4765701293945,2049.453125,121.52099609375,-0.985842943191528,0.89012998342514,18.2811660766602,-0.03176499158144,-0.03176499158144,-0.141720727086067,73.125
0,1,0.881277,3009539261,5802022,1786,191630,0,24.5703163146973,2049.3359375,121.511840820313,-0.622133910655975,3.69451808929443,3.56530570983887,0.0610865242779255,0.0610865242779255,-0.0794124826788902,73.15234375
0,1,0.950294,3009581357,5802765,1757,191630,0,24.5703163146973,2049.7265625,121.517944335938,3.21595358848572,0.885344386100769,12.0598258972168,-0.0549778714776039,-0.0549778714776039,-0.056199599057436,75.69921875
0,1,0.956296,3009622049,5803489,1774,191630,0,24.6484279632568,2049.6875,121.517944335938,-1.02412807941437,-0.473778903484344,10.045069694519,0.0696386322379112,0.0696386322379112,0.156381502747536,73.203125
0,1,0.999301,3009663497,5804216,1749,191630,0,24.6093578338623,2049.765625,121.527099609375,-2.46939301490784,-1.62711942195892,15.5342044830322,0.0378736443817616,0.0378736443817616,-0.134390354156494,73.39453125
0,1,1.066305,3009707915,5804983,1712,191630,0,25.7421722412109,2049.2578125,121.511840820313,-0.923629522323608,1.53140652179718,6.92961454391479,0.0232128798961639,0.0232128798961639,0,73.4140625
0,1,1.091309,3009749139,5805695,1731,191630,0,25.8203144073486,2049.4921875,121.527099609375,-0.942772150039673,-1.41176533699036,13.0935249328613,-0.01588249579072,-0.01588249579072,0.0549778714776039,73.45703125
0,1,1.159572,3009793783,5806462,1713,191630,0,25.7812442779541,2049.609375,121.524047851563,-1.06241321563721,0.971486032009125,7.93459987640381,0.00733038270846009,0.00733038270846009,-0.0244346093386412,73.5
0,1,1.172571,3009835816,5807174,1673,191630,0,24.6093578338623,2049.765625,121.530151367188,-1.76111745834351,-0.794417202472687,7.6618185043335,0.0537561401724815,0.0537561401724815,-0.0794124826788902,73.55078125
0,1,1.219581,3009882545,5807959,1698,191630,0,24.6484279632568,2049.296875,121.517944335938,1.52662086486816,3.91465783119202,10.4757785797119,-0.0549778714776039,-0.0549778714776039,0.0464257597923279,73.65234375
0,1,1.256589,3009922717,5808607,1402,191630,0,24.5703163146973,2049.453125,121.542358398438,2.36410880088806,0.172283232212067,11.1744813919067,0.0769690200686455,0.0769690200686455,0.0146607654169202,73.671875
0,1,1.30544,3009965285,5809321,1679,191630,0,24.6484279632568,2049.453125,121.548461914063,1.18684005737305,-1.72283244132996,9.96849918365479,-0.0232128798961639,-0.0232128798961639,0,73.64453125
0,1,1.340447,3010005663,5809991,1658,191630,0,24.9609355926514,2052.57788085938,121.701049804688,3.97687125205994,-0.894915699958801,7.8149585723877,0.0378736443817616,0.0378736443817616,-0.040317103266716,73.8125
0,1,1.38146,3010047163,5810675,1640,191630,0,25.0390472412109,2052.81225585938,121.697998046875,-0.569491803646088,-0.942772150039673,7.19761085510254,0.0305432621389627,0.0305432621389627,0.0390953756868839,73.81640625
